Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,isMobile,timespentonsite_7days,pageviews_7days,sessions_7days,Loan_Status
LP001002,Male,No,0,Graduate,No,58490,0,,360,1,Urban,0,44,12,3,Y
LP001003,Male,Yes,1,Graduate,No,45830,15080,128000,360,1,Rural,0,33,6,4,N
LP001004,Male,Yes,0,Graduate,Yes,30000,0,66000,360,1,Urban,1,38,12,3,Y
LP001005,Male,Yes,0,Not Graduate,No,25830,23580,120000,360,1,Urban,0,25,19,4,Y
LP001006,Male,No,0,Graduate,No,60000,0,141000,360,1,Urban,0,28,13,6,Y
LP001007,Male,Yes,2,Graduate,Yes,54170,41960,267000,360,1,Urban,0,23,11,3,Y
LP001008,Male,Yes,0,Not Graduate,No,23330,15160,95000,360,1,Urban,1,37,13,5,Y
LP001009,Male,Yes,3+,Graduate,No,30360,25040,158000,360,0,Semiurban,0,17,8,2,N
LP001010,Male,Yes,2,Graduate,No,40060,15260,168000,360,1,Urban,1,44,10,5,Y
LP001011,Male,Yes,1,Graduate,No,128410,109680,349000,360,1,Semiurban,1,30,15,5,N
LP001012,Male,Yes,2,Graduate,No,32000,7000,70000,360,1,Urban,0,45,5,6,Y
LP001013,Male,Yes,2,Graduate,,25000,18400,109000,360,1,Urban,1,28,11,7,Y
LP001014,Male,Yes,2,Graduate,No,30730,81060,200000,360,1,Urban,0,40,14,7,Y
LP001015,Male,No,0,Graduate,No,18530,28400,114000,360,1,Rural,1,43,12,6,N
LP001016,Male,Yes,2,Graduate,No,12990,10860,17000,120,1,Urban,0,38,17,4,Y
LP001017,Male,No,0,Graduate,No,49500,0,125000,360,1,Urban,1,39,20,7,Y
LP001018,Male,No,1,Not Graduate,No,35960,0,100000,240,,Urban,1,31,15,7,Y
LP001019,Female,No,0,Graduate,No,35100,0,76000,360,0,Urban,1,20,7,5,N
LP001020,Male,Yes,0,Not Graduate,No,48870,0,133000,360,1,Rural,1,29,6,6,N
LP001021,Male,Yes,0,Graduate,,26000,35000,115000,,1,Urban,0,40,10,6,Y
LP001022,Male,Yes,0,Not Graduate,No,76600,0,104000,360,0,Urban,1,23,15,2,N
LP001023,Male,Yes,1,Graduate,No,59550,56250,315000,360,1,Urban,1,50,20,4,Y
LP001024,Male,Yes,0,Not Graduate,No,26000,19110,116000,360,0,Semiurban,0,32,13,6,N
LP001025,,Yes,2,Not Graduate,No,33650,19170,112000,360,0,Rural,0,13,6,6,N
LP001026,Male,Yes,1,Graduate,,37170,29250,151000,360,,Semiurban,0,12,13,6,N
LP001027,Male,Yes,0,Graduate,Yes,95600,0,191000,360,1,Semiurban,1,26,18,7,Y
LP001028,Male,Yes,0,Graduate,No,27990,22530,122000,360,1,Semiurban,1,22,12,6,Y
LP001029,Male,Yes,2,Not Graduate,No,42260,10400,110000,360,1,Urban,1,31,17,4,Y
LP001030,Male,No,0,Not Graduate,No,14420,0,35000,360,1,Urban,0,19,3,6,N
LP001031,Female,No,2,Graduate,,37500,20830,120000,360,1,Semiurban,0,20,6,3,Y
LP001032,Male,Yes,1,Graduate,,41660,33690,201000,360,,Urban,0,12,3,5,N
LP001033,Male,No,0,Graduate,No,31670,0,74000,360,1,Urban,1,37,10,5,N
LP001034,Male,No,1,Graduate,Yes,46920,0,106000,360,1,Rural,1,20,4,3,N
LP001035,Male,Yes,0,Graduate,No,35000,16670,114000,360,1,Semiurban,0,34,20,7,Y
LP001036,Male,No,3+,Graduate,No,125000,30000,320000,360,1,Rural,0,34,13,4,N
LP001037,Male,Yes,0,Graduate,No,22750,20670,,360,1,Urban,1,49,9,4,Y
LP001038,Male,Yes,0,Graduate,No,18280,13300,100000,,0,Urban,0,42,8,3,N
LP001039,Female,Yes,0,Graduate,No,36670,14590,144000,360,1,Semiurban,0,28,19,5,Y
LP001040,Male,No,0,Graduate,No,41660,72100,184000,360,1,Urban,1,22,12,5,Y
LP001041,Male,No,0,Not Graduate,No,37480,16680,110000,360,1,Semiurban,1,27,12,6,Y
LP001042,Male,No,0,Graduate,No,36000,0,80000,360,1,Urban,0,18,10,2,N
LP001043,Male,No,0,Graduate,No,18000,12130,47000,360,1,Urban,1,22,10,6,Y
